,open,high,low,close,volume,value
2023-03-07 09:00:00,4330.0,5705.0,4330.0,5095.0,37719515.55025966,199988855873.07364
2023-03-08 09:00:00,5095.0,5195.0,4400.0,4530.0,15113968.76903894,73443715808.46556
2023-03-09 09:00:00,4525.0,4530.0,3895.0,4000.0,12155858.1362442,51515133888.18034
2023-03-10 09:00:00,3995.0,4010.0,3535.0,3885.0,11763550.73241861,44526641096.14495
2023-03-11 09:00:00,3885.0,4135.0,3580.0,3820.0,15961640.71475624,61699182635.03139
2023-03-12 09:00:00,3820.0,4095.0,3600.0,4085.0,9133914.52439512,35274426607.052826
2023-03-13 09:00:00,4085.0,4420.0,3920.0,4280.0,22000158.85545121,92264068940.78896
2023-03-14 09:00:00,4275.0,4990.0,4045.0,4580.0,25123089.76790599,114208342384.92223
2023-03-15 09:00:00,4580.0,5540.0,4455.0,5110.0,74409781.34031431,378184021145.6307
2023-03-16 09:00:00,5110.0,5525.0,4935.0,5235.0,49348217.29732172,260445514568.60895
2023-03-17 09:00:00,5235.0,6895.0,5120.0,6865.0,69219811.66854106,409263516799.0457
2023-03-18 09:00:00,6880.0,8500.0,6810.0,7945.0,129403776.33862694,1023903872470.857
2023-03-19 09:00:00,7945.0,9020.0,7580.0,7955.0,98831751.25245754,812032497416.6357
2023-03-20 09:00:00,7960.0,8260.0,7380.0,7680.0,48611401.89149836,379259249603.3671
2023-03-21 09:00:00,7675.0,7745.0,6930.0,7085.0,39937565.12534596,289562292596.66205
2023-03-22 09:00:00,7080.0,7150.0,6480.0,6725.0,28171973.661009,191534682925.28665
2023-03-23 09:00:00,6720.0,8315.0,6715.0,8225.0,56354172.53941624,418983989541.2605
2023-03-24 09:00:00,8225.0,8570.0,7650.0,7865.0,59448164.67994747,486724744778.87244
2023-03-25 09:00:00,7865.0,7945.0,7125.0,7240.0,25369445.18084382,188706770583.62354
2023-03-26 09:00:00,7240.0,8200.0,6990.0,8120.0,59907001.5543022,464724929788.7495
2023-03-27 09:00:00,8120.0,8215.0,7440.0,7590.0,39885744.66933139,314869382882.10785
2023-03-28 09:00:00,7590.0,8820.0,7245.0,8740.0,41151807.34675531,320982956443.2262
2023-03-29 09:00:00,8735.0,9560.0,8575.0,8935.0,60035590.81170148,541872440900.7457
2023-03-30 09:00:00,8930.0,9025.0,8195.0,8325.0,23535494.55976856,202655547188.4674
2023-03-31 09:00:00,8320.0,8735.0,8220.0,8485.0,25277076.39866477,214574423000.64636
2023-04-01 09:00:00,8485.0,8625.0,7750.0,7975.0,13298089.97611923,107750981000.55298
2023-04-02 09:00:00,7975.0,8085.0,7445.0,7540.0,10751777.31420059,83405829796.902
2023-04-03 09:00:00,7540.0,8400.0,7200.0,7645.0,31544987.50106642,247107659760.3027
2023-04-04 09:00:00,7645.0,8095.0,7510.0,7680.0,18107948.06807127,140708291569.93427
2023-04-05 09:00:00,7680.0,7800.0,7345.0,7400.0,10746389.95217222,81552918859.51393
2023-04-06 09:00:00,7400.0,7405.0,7085.0,7190.0,5865312.89503902,42434783517.777435
2023-04-07 09:00:00,7190.0,7440.0,7005.0,7125.0,6750634.60531946,48745308070.21773
2023-04-08 09:00:00,7125.0,7290.0,6970.0,7070.0,3142245.70803066,22435165074.449783
2023-04-09 09:00:00,7070.0,7555.0,7035.0,7425.0,14954138.4978712,109915813856.03296
2023-04-10 09:00:00,7425.0,7530.0,7095.0,7455.0,7731294.8124273,56377722341.64614
2023-04-11 09:00:00,7460.0,7490.0,7330.0,7375.0,4022634.0343066,29761708816.33893
