,open,high,low,close,volume,value
2021-10-27 09:00:00,4165.0,23300.0,4165.0,7020.0,276753230.99711335,2750800238025.3896
2021-10-28 09:00:00,7015.0,7220.0,5810.0,6220.0,93160545.89672107,586922405151.5983
2021-10-29 09:00:00,6215.0,6730.0,5935.0,6050.0,35218392.78809856,221690854711.39505
2021-10-30 09:00:00,6050.0,6175.0,5455.0,5580.0,18894220.68845046,110095328481.58258
2021-10-31 09:00:00,5580.0,5595.0,5130.0,5395.0,12641282.2173046,67539333101.95307
2021-11-01 09:00:00,5390.0,5535.0,5045.0,5430.0,7237119.20643999,38468894683.7848
2021-11-02 09:00:00,5450.0,5575.0,5215.0,5430.0,5482044.97550394,29558942481.527946
2021-11-03 09:00:00,5430.0,5430.0,5100.0,5255.0,4145204.72939266,21809766848.136566
2021-11-04 09:00:00,5255.0,5540.0,5170.0,5430.0,5758388.4751418,30784843891.60373
2021-11-05 09:00:00,5430.0,5525.0,5305.0,5350.0,3563194.17452106,19279805384.50978
2021-11-06 09:00:00,5350.0,5420.0,5165.0,5370.0,2628767.68669207,13936996657.797173
2021-11-07 09:00:00,5360.0,5600.0,5300.0,5525.0,3777276.03711273,20656132888.84043
2021-11-08 09:00:00,5515.0,5575.0,5355.0,5575.0,2503010.02790446,13623154749.85225
2021-11-09 09:00:00,5575.0,5580.0,5320.0,5355.0,2662382.97140715,14449079442.610447
2021-11-10 09:00:00,5355.0,5635.0,4840.0,5015.0,4475602.07213161,23420735283.196903
2021-11-11 09:00:00,5015.0,5480.0,4930.0,5210.0,9035538.43713565,47684677727.60681
2021-11-12 09:00:00,5210.0,5210.0,4920.0,5070.0,3437747.52170791,17383161215.682693
2021-11-13 09:00:00,5075.0,5265.0,4980.0,5175.0,4060181.78807958,20810118197.902367
2021-11-14 09:00:00,5175.0,5270.0,5070.0,5185.0,3613326.74920642,18661757408.51204
2021-11-15 09:00:00,5180.0,5245.0,5060.0,5115.0,4364118.94338607,22543291678.10621
2021-11-16 09:00:00,5115.0,5115.0,4630.0,4755.0,6283520.73624993,30415795262.461002
2021-11-17 09:00:00,4755.0,4845.0,4540.0,4810.0,4602686.1059804,21605546925.06279
2021-11-18 09:00:00,4805.0,4900.0,4355.0,4395.0,5399972.81541995,25110407958.6896
2021-11-19 09:00:00,4395.0,4880.0,4310.0,4800.0,2971490.43466784,13667890929.514149
2021-11-20 09:00:00,4815.0,4970.0,4730.0,4915.0,1929425.57839576,9354562869.30294
2021-11-21 09:00:00,4915.0,5115.0,4800.0,4990.0,1855497.76573277,9166735558.001749
2021-11-22 09:00:00,4990.0,5000.0,4730.0,4800.0,1423118.47149273,6906656934.338578
2021-11-23 09:00:00,4795.0,5110.0,4700.0,5025.0,2269032.16947271,11102472568.953959
2021-11-24 09:00:00,5025.0,5130.0,4880.0,4995.0,2263203.34570254,11333677453.55832
2021-11-25 09:00:00,4995.0,5360.0,4945.0,5275.0,3754392.99932919,19466580819.046116
2021-11-26 09:00:00,5270.0,5300.0,4635.0,4680.0,3205586.73717901,15773721691.562109
2021-11-27 09:00:00,4680.0,4895.0,4615.0,4750.0,2594174.34470727,12404669344.76137
2021-11-28 09:00:00,4755.0,4755.0,4415.0,4620.0,2235975.8551501,10218969748.912327
2021-11-29 09:00:00,4620.0,4710.0,4510.0,4700.0,1606790.62161852,7386350406.609771
2021-11-30 09:00:00,4705.0,4730.0,4410.0,4410.0,2876828.97583078,13009260529.40909
2021-12-01 09:00:00,4410.0,5395.0,4375.0,4585.0,47983307.7631103,236898521998.95602
2021-12-02 09:00:00,4585.0,4590.0,4280.0,4305.0,12055869.37509388,52970581666.95854
2021-12-03 09:00:00,4335.0,4335.0,3935.0,3990.0,7157361.79231434,29923580429.524868
2021-12-04 09:00:00,3985.0,4000.0,2550.0,3375.0,10012914.29349267,33011653488.77325
2021-12-05 09:00:00,3375.0,3575.0,3200.0,3310.0,5130719.29668839,17280349812.305393
2021-12-06 09:00:00,3305.0,3330.0,2970.0,3300.0,3954308.53947032,12434009222.073849
2021-12-07 09:00:00,3295.0,3530.0,3275.0,3345.0,5082579.05683795,17419138176.531532
2021-12-08 09:00:00,3345.0,3445.0,3180.0,3390.0,2671988.72600137,8932896932.783983
2021-12-09 09:00:00,3390.0,3830.0,3120.0,3130.0,17969858.19718325,63406392574.162926
2021-12-10 09:00:00,3120.0,3325.0,3045.0,3155.0,3442866.06203397,10902024530.802828
2021-12-11 09:00:00,3160.0,3275.0,3100.0,3215.0,1390139.86870565,4456009131.75788
2021-12-12 09:00:00,3215.0,3230.0,3115.0,3165.0,1206710.42955296,3817592627.224138
2021-12-13 09:00:00,3165.0,3485.0,2830.0,3005.0,10001144.17127426,31498901990.23219
2021-12-14 09:00:00,3005.0,3245.0,2950.0,3150.0,5541733.84288389,17233141925.505302
2021-12-15 09:00:00,3150.0,3225.0,2900.0,3200.0,3212857.79590843,9891092918.710873
2021-12-16 09:00:00,3200.0,3380.0,3150.0,3225.0,2254156.74514299,7321146639.30786
2021-12-17 09:00:00,3230.0,3410.0,2910.0,3070.0,3135194.30586315,9883285105.364492
