,open,high,low,close,volume,value
2023-07-28 09:00:00,850.0,1255.0,850.0,967.0,129230462.06998137,141854870696.4744
2023-07-29 09:00:00,967.0,989.0,955.0,969.0,19140682.86442573,18527034978.469738
2023-07-30 09:00:00,970.0,1125.0,945.0,973.0,40140715.46628918,40651119747.67065
2023-07-31 09:00:00,973.0,995.0,959.0,995.0,6697391.86107636,6515215002.244011
2023-08-01 09:00:00,994.0,1050.0,964.0,1045.0,7499948.81994175,7528847594.354796
2023-08-02 09:00:00,1045.0,1045.0,991.0,993.0,5058384.87935592,5137647061.8818865
2023-08-03 09:00:00,992.0,1005.0,981.0,994.0,2986718.56017262,2963419387.0211053
2023-08-04 09:00:00,992.0,1005.0,969.0,975.0,2797762.06750384,2751796455.2299213
2023-08-05 09:00:00,974.0,981.0,960.0,979.0,2071222.74934458,2007312143.108868
2023-08-06 09:00:00,979.0,1000.0,973.0,979.0,1544507.24805538,1526313346.6220553
2023-08-07 09:00:00,980.0,996.0,947.0,972.0,2131640.53180526,2083606958.2099295
2023-08-08 09:00:00,969.0,975.0,942.0,970.0,1459005.61643463,1404441378.532486
2023-08-09 09:00:00,969.0,981.0,955.0,960.0,923236.50528495,893585785.4295293
2023-08-10 09:00:00,962.0,966.0,950.0,952.0,641432.11291705,612589161.502204
2023-08-11 09:00:00,952.0,955.0,944.0,950.0,843729.09963124,800859494.9849473
2023-08-12 09:00:00,949.0,952.0,941.0,944.0,616051.73505644,582850551.2385331
2023-08-13 09:00:00,942.0,944.0,920.0,923.0,1314571.14066089,1226883816.461238
2023-08-14 09:00:00,923.0,940.0,921.0,937.0,1337220.73517669,1244563152.5725632
2023-08-15 09:00:00,936.0,965.0,850.0,889.0,3224805.6835097,2983392872.992911
2023-08-16 09:00:00,889.0,891.0,839.0,858.0,2847082.05298664,2474936177.529658
2023-08-17 09:00:00,859.0,882.0,728.0,810.0,3799944.57201293,3089033882.667153
2023-08-18 09:00:00,810.0,825.0,787.0,823.0,1235534.3035567,1000905776.7683108
2023-08-19 09:00:00,824.0,856.0,822.0,852.0,625454.3289534,522141521.5411963
2023-08-20 09:00:00,853.0,857.0,830.0,837.0,503443.00274662,425839901.44183344
2023-08-21 09:00:00,836.0,855.0,807.0,827.0,1522908.54839387,1271020916.5343812
2023-08-22 09:00:00,827.0,881.0,764.0,792.0,3602802.35546705,2979389273.991442
2023-08-23 09:00:00,790.0,791.0,757.0,780.0,1871392.0657129,1450256779.7179205
2023-08-24 09:00:00,779.0,854.0,779.0,792.0,43163411.66752193,35177577498.78965
2023-08-25 09:00:00,792.0,792.0,751.0,767.0,7581224.85179522,5812204495.172444
2023-08-26 09:00:00,767.0,781.0,759.0,778.0,1721169.66377997,1328439405.17798
2023-08-27 09:00:00,777.0,785.0,772.0,783.0,835241.30661063,650519215.106614
2023-08-28 09:00:00,781.0,783.0,752.0,772.0,1624557.68012194,1245768098.8523543
2023-08-29 09:00:00,773.0,806.0,747.0,803.0,2305901.97312964,1793557756.4169455
2023-08-30 09:00:00,803.0,819.0,782.0,792.0,2367098.11639563,1892242976.0142288
2023-08-31 09:00:00,792.0,822.0,759.0,767.0,3741389.73202453,2966971181.6816564
2023-09-01 09:00:00,767.0,780.0,753.0,761.0,874547.47236151,670787862.6988223
2023-09-02 09:00:00,761.0,767.0,739.0,751.0,532911.71597995,402334216.6122553
2023-09-03 09:00:00,751.0,754.0,725.0,738.0,804278.10659968,594051943.2968711
2023-09-04 09:00:00,738.0,760.0,731.0,749.0,1177365.96573081,877959903.7216023
2023-09-05 09:00:00,749.0,783.0,730.0,749.0,4581372.5811046,3452789585.5204935
2023-09-06 09:00:00,749.0,753.0,730.0,742.0,587191.74499008,437080354.1594374
2023-09-07 09:00:00,742.0,751.0,731.0,751.0,415997.7837851,307566211.5807661
2023-09-08 09:00:00,751.0,757.0,735.0,738.0,540501.40059823,403684083.55993694
2023-09-09 09:00:00,738.0,741.0,727.0,729.0,482421.95929764,353749169.0830921
2023-09-10 09:00:00,729.0,730.0,676.0,700.0,1013334.5377035,717945754.7334739
2023-09-11 09:00:00,701.0,715.0,657.0,669.0,1688316.26623312,1158840208.2274663
2023-09-12 09:00:00,669.0,692.0,658.0,659.0,871461.59901497,587295110.1059607
2023-09-13 09:00:00,660.0,689.0,655.0,670.0,882478.89580987,589587930.6930467
2023-09-14 09:00:00,669.0,682.0,664.0,682.0,757935.87390241,511716883.3465626
2023-09-15 09:00:00,682.0,695.0,667.0,694.0,1601269.93162001,1082946384.946283
2023-09-16 09:00:00,694.0,730.0,691.0,727.0,1754897.37547167,1249132315.3330286
2023-09-17 09:00:00,727.0,727.0,691.0,702.0,839383.66272663,597668128.5233222
